"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"476","RT @jesiathe: OH HELLO! My other love #citizenscience gets a call out at #glamslam2018.
If you want to see what goes on in that sector, fol…",FALSE,0,NA,2018-03-01 01:04:49,FALSE,NA,"969015569176408064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","misskokolib",3,TRUE,FALSE,NA,NA
"477","RT @jesiathe: OH HELLO! My other love #citizenscience gets a call out at #glamslam2018.
If you want to see what goes on in that sector, fol…",FALSE,0,NA,2018-03-01 01:04:45,FALSE,NA,"969015549110861825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CitSciOZ",3,TRUE,FALSE,NA,NA
"478","Here's some background on o-design including old weather that @janson_h mentioned: https://t.co/RmOBXirZg1 #glamslam2018",FALSE,2,NA,2018-03-01 01:04:37,FALSE,NA,"969015518295244800",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","lyndakelly61",2,FALSE,FALSE,NA,NA
"479","OH HELLO! My other love #citizenscience gets a call out at #glamslam2018.
If you want to see what goes on in that s… https://t.co/9QzLNX5Hu5",FALSE,5,NA,2018-03-01 01:04:10,TRUE,NA,"969015405598552065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jesiathe",3,FALSE,FALSE,NA,NA
"480","RT @history2wheeler: What unites GLAM? All repositories for human expression #GLAMSLAM2018",FALSE,0,NA,2018-03-01 01:03:15,FALSE,NA,"969015172948897792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cfwriter",3,TRUE,FALSE,NA,NA
"481","RT @ellenforsyth: Some recent useful information on this, with lots of links from @mchris4duke https://t.co/QRLPtekaNB #GLAMSLAM2018 https:…",FALSE,0,NA,2018-03-01 01:03:10,FALSE,NA,"969015152627523584",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TurbittNDuck",3,TRUE,FALSE,NA,NA
"482","Some recent useful information on this, with lots of links from @mchris4duke https://t.co/QRLPtekaNB #GLAMSLAM2018 https://t.co/0xyRrCFixr",FALSE,3,NA,2018-03-01 01:02:24,FALSE,NA,"969014959609823232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ellenforsyth",3,FALSE,FALSE,NA,NA
"483","Also that funding is mostly for projects as opposed to on-going. This leads to issues relating to the sustainabilit… https://t.co/XRNj58Ko2G",FALSE,3,"jesiathe",2018-03-01 01:01:47,TRUE,"969006941912539136","969014805473386496","40198778","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jesiathe",3,FALSE,FALSE,NA,NA
"484","@cap_and_gown calling out the tension of the use of language of the market and the ‘consumption’ of culture in GLAM… https://t.co/uNxwAsFJaw",FALSE,4,"cap_and_gown",2018-03-01 01:00:42,TRUE,NA,"969014531971211264","330879643","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BonnieWildie",1,FALSE,FALSE,NA,NA
"485","Summing up @cap_and_gown asks about tension between GLAM orgs as ‘public space’ and the commodification of culture #glamslam2018",FALSE,3,NA,2018-03-01 01:00:20,FALSE,NA,"969014438702473216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CatherineM__",1,FALSE,FALSE,NA,NA
"486","#glamslam2018 I’m realising we’re selling culture back to the communities it belongs to.",FALSE,6,NA,2018-03-01 01:00:17,FALSE,NA,"969014425859497984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReneeLennon3",3,FALSE,FALSE,NA,NA
"487","RT @cap_and_gown: Hands up who think the arts provides a richer and more meaningful life? #glamslam2018 https://t.co/dwTj0vxKVw",FALSE,0,NA,2018-03-01 01:00:01,FALSE,NA,"969014358582816768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aus_Digital",20,TRUE,FALSE,NA,NA
